epoch,accuracy,loss,val_accuracy,val_loss
0,0.8858796,0.27773234461035046,0.9236883,0.19537710867546224
1,0.94044316,0.15454843857931713,0.9317902,0.17510041053648348
2,0.95529085,0.11863400784749834,0.935108,0.17033845837469455
3,0.9650462,0.09466196868627791,0.93464506,0.17243219625066827
4,0.9724205,0.07764895560722503,0.93688273,0.17511093119780222
5,0.9788028,0.06354144009805861,0.9326388,0.18585994055977575
6,0.9813493,0.055389227978293855,0.934645,0.18733080482041395
7,0.98564833,0.04732607033044573,0.9347222,0.1933483686712053
8,0.98773146,0.04098250033363463,0.93371904,0.2003488277947461
9,0.988889,0.03816886347910715,0.9352624,0.20199220136359886
10,0.9896495,0.03429918568877001,0.93364197,0.20690271313543673
11,0.9896495,0.032544152864388054,0.9353395,0.21155722273720634
12,0.99117064,0.02851432981708693,0.9337191,0.22025653918584187
13,0.9906415,0.028684760890309774,0.93557096,0.22016436016118085
14,0.9912368,0.02767569153968777,0.934645,0.22310004521299293
15,0.99136907,0.02572380718257692,0.9344135,0.2285708800510124
16,0.991865,0.02335900931013009,0.9326389,0.23285358636467546
17,0.99146813,0.023517795025356232,0.9337964,0.2361140818507583
18,0.9919974,0.023642328215969934,0.93294746,0.2369373213361811
19,0.9910052,0.02488003848564057,0.9318673,0.23774112727906968
20,0.99193114,0.022835349433478855,0.932253,0.23951503656528614
21,0.9924604,0.02084155973224413,0.9328704,0.24466574633563007
22,0.9914022,0.023755765044026905,0.93047845,0.2537069539229075
23,0.9917988,0.022718749585605803,0.9347995,0.24314759704801772
24,0.992725,0.020342923000100113,0.933642,0.24805324143833585
25,0.9914352,0.023175964409869815,0.93356484,0.24885164852495548
26,0.9912367,0.022322355991318113,0.93317896,0.25115865579357854
27,0.99219567,0.022439245759908643,0.93317896,0.251729044870094
28,0.9925264,0.020225710717458573,0.931713,0.25425397488805984
29,0.9919973,0.020765635785129334,0.9344136,0.25882988218907954
30,0.99203044,0.021015684319187013,0.9338735,0.2568239726402141
31,0.99136895,0.022736516624452575,0.93348765,0.2534752152584217
32,0.9916998,0.019311531242870147,0.933642,0.26097848018010456
33,0.9913029,0.021221507305190675,0.9354939,0.25457488475022494
34,0.992295,0.019119629725104288,0.9331019,0.2595579796367221
35,0.9923613,0.02053553970264537,0.9336419,0.25890219940079584
36,0.99325377,0.01798152540706926,0.9337963,0.26466893642037004
37,0.99285716,0.01811961636893333,0.93464494,0.26531841776989123
38,0.99275804,0.01787072339996932,0.93348765,0.27191621837792573
39,0.9920634,0.02033598217817526,0.93387353,0.2690907597541809
40,0.99199724,0.019796038974475648,0.9334877,0.2659853518009186
41,0.99203044,0.019233810706507593,0.93356484,0.26689369479815167
42,0.9923611,0.018100626879031696,0.93464506,0.27090876654342366
43,0.9918981,0.020564932115967313,0.93310183,0.27189677578431587
44,0.99209654,0.01946475010306116,0.9314043,0.2710687992749391
45,0.9924933,0.019558188697648426,0.93217593,0.27056271632512413
46,0.99186516,0.021354713585109465,0.93302464,0.271039922369851
47,0.9924604,0.018447014077063947,0.9337191,0.2705363381791998
48,0.9918651,0.019624939886113954,0.93325615,0.2687328451209598
49,0.9925926,0.01922114287754373,0.9311728,0.2757873126754054
50,0.99249333,0.01959051534770027,0.93163574,0.2712917085047121
51,0.99255943,0.017458109066836418,0.9307871,0.2740883414392118
52,0.99249345,0.018606458817209515,0.93163574,0.2782797897303546
53,0.9928242,0.01776616180847798,0.93371916,0.27902442503858493
54,0.9928902,0.01726185599016765,0.9326388,0.27929248368298565
55,0.99156755,0.017614090770837806,0.9333332,0.2777522513159999
56,0.9917988,0.019650630334702632,0.9334877,0.2736076213695385
57,0.99179894,0.01861880672504268,0.9327161,0.27919101119041445
58,0.9921626,0.017760975073490823,0.93287045,0.28228314872141236
59,0.9916004,0.019606743814305418,0.9321759,0.2792044875798402
60,0.99255955,0.018840033569861026,0.932716,0.2763568803116127
61,0.9911376,0.020103289955665196,0.93302464,0.2747285690572527
62,0.99242735,0.017466268227213904,0.933179,0.27891992176020586
63,0.991799,0.018351572968568357,0.93240744,0.28058603383876657
64,0.9921957,0.01755544020727809,0.93356484,0.28118910281746473
65,0.9920966,0.017315482898127465,0.9320216,0.2858969975400854
66,0.99265873,0.01702702409691281,0.9323303,0.2914233148097992
67,0.99232787,0.01706314969157416,0.9329475,0.2845523099104563
