epoch,acc,loss,val_acc,val_loss
0,0.8475264711522184,0.33749158070861335,0.8965306317297924,0.2407067572644193
1,0.8992169288283469,0.23470221205734632,0.8897294772431042,0.23170860217613454
2,0.9165349014596528,0.19675745064258468,0.9190738356916908,0.19013997976630176
3,0.9321210925482669,0.168987166472259,0.9267155832514091,0.1838397204957933
4,0.9396882901779814,0.15378256634244644,0.9314534665247215,0.1719974074982438
5,0.9477449030673663,0.13592957943065295,0.9150236987947379,0.20451917781134582
6,0.9525261764228007,0.12202220599444531,0.926639165696831,0.1789571335150637
7,0.9587757049281144,0.10610753581893884,0.9345101833015558,0.16568882367797863
8,0.96167457331269,0.10074364896152638,0.9287788722559925,0.1810694268841855
9,0.9686017632753714,0.08399810415642348,0.9241173983658743,0.19781787554805622
